metric,unit,repeat_count,mean,median,min,max,stdev,cv_percent
duration,s,3,71.42791741589706,71.39452104270458,71.35633619874716,71.53289500623941,0.09289640161265615,0.13005615307493348
request_throughput,req/s,3,1.4000143965150846,1.4006677058619816,1.3979582399297212,1.4014172437535513,0.0018196941200033711,0.1299768148479725
output_throughput,tok/s,3,179.20184275393083,179.28546635033365,178.93865471100432,179.38140720045456,0.2329208473604315,0.1299768148479725
total_token_throughput,tok/s,3,537.6055282617925,537.856399051001,536.8159641330129,538.1442216013637,0.6987625420813215,0.12997681484797752
mean_ttft_ms,ms,3,5473.161539062858,5471.729266420007,5466.451622918248,5481.303727850318,7.5289314594368,0.1375609217031431
p50_ttft_ms,ms,3,5961.82706207037,5961.2956419587135,5956.129729747772,5968.055814504623,5.980775861725979,0.10031783544638795
p95_ttft_ms,ms,3,6011.0661175102,6015.514602512121,5987.102127820253,6030.581622198224,22.078459456000044,0.3672968991587969
p99_ttft_ms,ms,3,6012.087791909774,6017.022698447108,5987.6452700048685,6031.595407277346,22.386795627480133,0.37236308587517886
mean_tpot_ms,ms,3,40.284902694344204,40.26074234132222,40.2536624752161,40.34030326649429,0.0481087172135951,0.11942120743995074
p50_tpot_ms,ms,3,40.00404574896094,39.99869874495221,39.982455716593066,40.03098278533755,0.024701456214867648,0.0617473951756723
p95_tpot_ms,ms,3,42.73203355492413,42.70337535523054,42.68538144629772,42.807343863244135,0.06583826466509565,0.15407238829500763
p99_tpot_ms,ms,3,42.869335510169115,42.816742501976925,42.815380704215194,42.97588332431523,0.09227562596792113,0.2152485567359267
mean_itl_ms,ms,3,40.28490473924503,40.26074433009925,40.25366498846707,40.34030489916877,0.048108341887538035,0.11942026969886692
p95_itl_ms,ms,3,40.923913692434624,40.91611094772815,40.83349108695983,41.02213904261589,0.0945657174245423,0.23107691540758998
mean_e2el_ms,ms,3,10589.344181244573,10583.944400772452,10579.56590026617,10604.522242695093,13.325651155486728,0.12584019300353458
p50_e2el_ms,ms,3,11042.776132623354,11037.202712148428,11030.638299882412,11060.487385839224,15.685638175000562,0.142044337280921
p95_e2el_ms,ms,3,11092.303795740008,11095.316809788346,11073.323982581496,11108.270594850183,17.66706306962437,0.15927316268068129
p99_e2el_ms,ms,3,11093.298836648464,11096.543753147125,11073.729582354426,11109.623174443841,18.165478264631062,0.16375181568730968
