metric,unit,repeat_count,mean,median,min,max,stdev,cv_percent
duration,s,3,97.2168156305949,97.18331193178892,97.16255933046341,97.30457562953234,0.07670743559505525,0.07890346448553578
request_throughput,req/s,3,0.6171774348237578,0.6173899490286237,0.6166205403170142,0.6175218151256353,0.0004867707731736888,0.0788704747950955
output_throughput,tok/s,3,157.99742331488198,158.05182695132766,157.85485832115563,158.08558467216264,0.12461331793246433,0.0788704747950955
total_token_throughput,tok/s,3,789.9871165744098,790.2591347566383,789.2742916057781,790.4279233608132,0.6230665896623766,0.07887047479510247
mean_ttft_ms,ms,3,779.2305056419638,780.5536645154159,775.607084358732,781.5307680517435,3.175778515106013,0.40755315559542543
p50_ttft_ms,ms,3,729.8172228038311,729.7631129622459,729.4037565588951,730.2847988903522,0.4430065503715895,0.06070102712424834
p95_ttft_ms,ms,3,1361.8008335431407,1426.4444150030606,1227.4236064404236,1431.5344791859382,116.40191820244151,8.54764627361744
p99_ttft_ms,ms,3,1680.436004847288,1680.4169208556411,1679.1185725480316,1681.772521138191,1.327077212846023,0.0789721958478641
mean_tpot_ms,ms,3,45.105164875489436,45.0834980446334,45.07102764022896,45.16096894160595,0.04872830894720911,0.10803265896870387
p50_tpot_ms,ms,3,45.31416287219602,45.4447665050918,45.05124114015523,45.44648097134104,0.22769851280394543,0.5024886224780227
p95_tpot_ms,ms,3,47.15231777552296,47.14518388842835,47.11680131946124,47.19496811867929,0.03956869196483305,0.08391674859591608
p99_tpot_ms,ms,3,47.187479394615856,47.17818773026559,47.16673775747711,47.21751269610489,0.02663221485273706,0.056439155459055576
mean_itl_ms,ms,3,45.10516619143403,45.083499655517095,45.07102905194355,45.16096986684145,0.048727986107620906,0.10803194006826404
p95_itl_ms,ms,3,42.84799322485924,42.846543341875076,42.680229619145386,43.01720671355724,0.1684932258580897,0.3932348125940575
mean_e2el_ms,ms,3,12281.047548891767,12276.845665896932,12274.642816310126,12291.654164468247,9.25139757366025,0.07533068768628853
p50_e2el_ms,ms,3,12329.73679775993,12327.11073383689,12321.129187941551,12340.97047150135,10.177980748705151,0.08254824020699525
p95_e2el_ms,ms,3,12796.329208339253,12788.776909187434,12788.31111676991,12811.899599060416,13.486365005119412,0.10539245111270246
p99_e2el_ms,ms,3,13036.753854180373,13033.939140141008,13023.225855380295,13053.096567019818,15.132971116256119,0.11607928849100402
