metric,unit,repeat_count,mean,median,min,max,stdev,cv_percent
duration,s,3,38.20273466408253,38.22900339961052,38.142277002334595,38.23692359030247,0.05250741855366501,0.13744413591164056
request_throughput,req/s,3,2.617616956382746,2.6158149861949793,2.615273160348122,2.6217627226051357,0.003600545373983344,0.13755050620389073
output_throughput,tok/s,3,335.05497041699147,334.82431823295735,334.7549645245596,335.58562849345736,0.46086980786986803,0.13755050620389073
total_token_throughput,tok/s,3,1005.1649112509743,1004.472954698872,1004.2648935736789,1006.7568854803721,1.3826094236096467,0.13755050620389495
mean_ttft_ms,ms,3,450.43885129193467,452.8244060277939,443.9020197838545,454.5901280641556,5.7294910944337385,1.2719797766113183
p50_ttft_ms,ms,3,514.4166015088558,519.784227013588,502.5891624391079,520.8764150738716,10.257409755937719,1.9939888654159494
p95_ttft_ms,ms,3,524.6461143096288,524.6311642229557,522.5688144564629,526.7383642494678,2.0848150992127907,0.3973754960438726
p99_ttft_ms,ms,3,525.7071936875582,525.4089809954166,523.4086173772812,528.3039826899767,2.4612696913384586,0.46818261589192883
mean_tpot_ms,ms,3,39.77073425735076,39.777703902970146,39.747450903762044,39.78704796532008,0.020698159122313105,0.05204369370798704
p50_tpot_ms,ms,3,39.451055649149765,39.45705805003174,39.416158117177915,39.47995078023963,0.03231714061279969,0.08191704906506393
p95_tpot_ms,ms,3,42.67265129824636,42.70604998753296,42.59081768297305,42.72108622423307,0.07126764725350951,0.16701012260852485
p99_tpot_ms,ms,3,42.75836467214926,42.77717838430499,42.69210407701065,42.80581155513215,0.059142323838322526,0.13831755328296028
mean_itl_ms,ms,3,39.77073425735076,39.777703902970146,39.747450903762044,39.78704796532008,0.020698159122313105,0.05204369370798704
p95_itl_ms,ms,3,40.606931721170746,40.655943751335144,40.48153683543205,40.68331457674503,0.10945409333583249,0.2695453428675768
mean_e2el_ms,ms,3,5501.322101975481,5505.779497623444,5491.828284561634,5506.3585237413645,8.226982717065965,0.14954555586032167
p50_e2el_ms,ms,3,5522.328895827134,5525.200542062521,5514.157056808472,5527.629088610411,7.180436915259492,0.13002552094796965
p95_e2el_ms,ms,3,5541.021894291043,5543.585992604494,5533.921820297837,5545.5578699707985,6.227388145818943,0.11238699764451515
p99_e2el_ms,ms,3,5541.77471101284,5544.5892187952995,5534.374147802591,5546.36076644063,6.469995914727195,0.11674952974666682
