timestamp,timestamp_utc,running_requests,waiting_requests,desired_replicas,ready_replicas,pending_ready_at_utc,event
1788748934.000,2026-09-07T02:42:14Z,0.0,0.0,1,1,,
1788748949.000,2026-09-07T02:42:29Z,0.0,0.0,1,1,,
1788748964.000,2026-09-07T02:42:44Z,0.0,0.0,1,1,,
1788748979.000,2026-09-07T02:42:59Z,0.0,0.0,1,1,,
1788748994.000,2026-09-07T02:43:14Z,0.0,0.0,1,1,,
1788749009.000,2026-09-07T02:43:29Z,0.0,0.0,1,1,,
1788749024.000,2026-09-07T02:43:44Z,8.0,2.0,1,1,,
1788749039.000,2026-09-07T02:43:59Z,0.0,0.0,1,1,,
1788749054.000,2026-09-07T02:44:14Z,8.0,8.0,1,1,,
1788749069.000,2026-09-07T02:44:29Z,7.0,8.0,2,1,2026-09-07T02:47:04Z,scale_out_requested
1788749084.000,2026-09-07T02:44:44Z,8.0,8.0,2,1,2026-09-07T02:47:04Z,
1788749099.000,2026-09-07T02:44:59Z,8.0,8.0,2,1,2026-09-07T02:47:04Z,
1788749114.000,2026-09-07T02:45:14Z,8.0,8.0,2,1,2026-09-07T02:47:04Z,
1788749129.000,2026-09-07T02:45:29Z,8.0,8.0,2,1,2026-09-07T02:47:04Z,
1788749144.000,2026-09-07T02:45:44Z,8.0,8.0,2,1,2026-09-07T02:47:04Z,
1788749159.000,2026-09-07T02:45:59Z,8.0,8.0,2,1,2026-09-07T02:47:04Z,
1788749174.000,2026-09-07T02:46:14Z,8.0,8.0,2,1,2026-09-07T02:47:04Z,
1788749189.000,2026-09-07T02:46:29Z,8.0,8.0,2,1,2026-09-07T02:47:04Z,
1788749204.000,2026-09-07T02:46:44Z,8.0,8.0,2,1,2026-09-07T02:47:04Z,
1788749219.000,2026-09-07T02:46:59Z,0.0,0.0,2,1,2026-09-07T02:47:04Z,
1788749234.000,2026-09-07T02:47:14Z,0.0,0.0,2,2,,second_replica_ready_observed
1788749249.000,2026-09-07T02:47:29Z,0.0,0.0,2,2,,
