metric,unit,repeat_count,mean,median,min,max,stdev,cv_percent
duration,s,1,164.39438566565514,164.39438566565514,164.39438566565514,164.39438566565514,0.0,0.0
request_throughput,req/s,1,1.4599038709759309,1.4599038709759309,1.4599038709759309,1.4599038709759309,0.0,0.0
output_throughput,tok/s,1,186.86769548491915,186.86769548491915,186.86769548491915,186.86769548491915,0.0,0.0
total_token_throughput,tok/s,1,560.6030864547574,560.6030864547574,560.6030864547574,560.6030864547574,0.0,0.0
mean_ttft_ms,ms,1,5691.832927831759,5691.832927831759,5691.832927831759,5691.832927831759,0.0,0.0
p50_ttft_ms,ms,1,5913.987558335066,5913.987558335066,5913.987558335066,5913.987558335066,0.0,0.0
p95_ttft_ms,ms,1,5934.104093536735,5934.104093536735,5934.104093536735,5934.104093536735,0.0,0.0
p99_ttft_ms,ms,1,5963.381561264396,5963.381561264396,5963.381561264396,5963.381561264396,0.0,0.0
mean_tpot_ms,ms,1,40.03845054944709,40.03845054944709,40.03845054944709,40.03845054944709,0.0,0.0
p50_tpot_ms,ms,1,39.724863273656275,39.724863273656275,39.724863273656275,39.724863273656275,0.0,0.0
p95_tpot_ms,ms,1,42.425242259981125,42.425242259981125,42.425242259981125,42.425242259981125,0.0,0.0
p99_tpot_ms,ms,1,42.53543332395122,42.53543332395122,42.53543332395122,42.53543332395122,0.0,0.0
mean_itl_ms,ms,1,40.03845267242256,40.03845267242256,40.03845267242256,40.03845267242256,0.0,0.0
p95_itl_ms,ms,1,40.710218995809555,40.710218995809555,40.710218995809555,40.710218995809555,0.0,0.0
mean_e2el_ms,ms,1,10776.71614761154,10776.71614761154,10776.71614761154,10776.71614761154,0.0,0.0
p50_e2el_ms,ms,1,10961.21335402131,10961.21335402131,10961.21335402131,10961.21335402131,0.0,0.0
p95_e2el_ms,ms,1,10983.894614875317,10983.894614875317,10983.894614875317,10983.894614875317,0.0,0.0
p99_e2el_ms,ms,1,11016.364889219403,11016.364889219403,11016.364889219403,11016.364889219403,0.0,0.0
