metric,unit,repeat_count,mean,median,min,max,stdev,cv_percent
duration,s,3,40.2489894280831,38.44859944283962,38.38843800872564,43.90993083268404,3.1706109546079255,7.8774920803245845
request_throughput,req/s,3,2.49440504043034,2.600874972017303,2.2773891487336555,2.6049510005400616,0.18795232490929697,7.5349561062814026
output_throughput,tok/s,3,319.2838451750835,332.9119964182148,291.5058110379079,333.4337280691279,24.057897588390013,7.5349561062814026
total_token_throughput,tok/s,3,957.8515355252506,998.7359892546444,874.5174331137238,1000.3011842073837,72.17369276517003,7.534956106281402
mean_ttft_ms,ms,3,983.8908685247103,769.0187706798315,735.4211161285639,1447.2327187657356,401.6172969836074,40.81929305694342
p50_ttft_ms,ms,3,351.72955443461734,359.52772572636604,301.72697082161903,393.933966755867,46.595505485252495,13.247537745342946
p95_ttft_ms,ms,3,5461.429327353835,5469.013965502381,5337.381950393318,5577.892066165805,120.43431404341132,2.205179392145755
p99_ttft_ms,ms,3,5808.248466029763,5720.008501559496,5682.518387287855,6022.218509241939,186.24919251151215,3.2066326638884832
mean_tpot_ms,ms,3,40.85835658092042,40.82906111194862,40.77259168615491,40.973416944657735,0.10356816349578657,0.25348098201323566
p50_tpot_ms,ms,3,41.01815230147107,40.99413010431087,40.98818770895793,41.0721390911444,0.04684824553873101,0.1142134467550135
p95_tpot_ms,ms,3,42.48645811529923,42.48402641690153,42.40719545485936,42.5681524741368,0.08050605804219071,0.18948639546208904
p99_tpot_ms,ms,3,42.60843713511162,42.51559466299579,42.512552124543454,42.79716461779564,0.16344987396826335,0.38360917451621795
mean_itl_ms,ms,3,40.858358871240625,40.82906410274074,40.77259368607847,40.97341882490267,0.10356795687873947,0.25348046211332015
p95_itl_ms,ms,3,40.95974018176397,41.012149304151535,40.77593237161636,41.091138869524,0.16400860088079483,0.4004141631587167
mean_e2el_ms,ms,3,6172.902154301603,5972.642722651362,5913.540260270238,6632.523479983211,399.1391956834938,6.465989346767024
p50_e2el_ms,ms,3,5541.016316662232,5532.868929207325,5512.1094062924385,5578.070614486933,33.726920825575476,0.6086775222833438
p95_e2el_ms,ms,3,10795.93053534627,10741.813316196201,10708.202189579606,10937.776100263,123.98608862698676,1.1484520785035786
p99_e2el_ms,ms,3,10991.347107465068,10959.792956113815,10944.408464729786,11069.839901551604,68.41059630217966,0.6224041114643424
