metric,unit,repeat_count,mean,median,min,max,stdev,cv_percent
duration,s,3,38.19974586864313,38.16921081393957,38.139650620520115,38.29037617146969,0.07986764114192227,0.20907898554236953
request_throughput,req/s,3,2.617826083807012,2.6199126957971983,2.6116222925621293,2.621943263061708,0.005467729895622621,0.20886528442222163
output_throughput,tok/s,3,335.08173872729753,335.3488250620414,334.28765344795255,335.6087376718986,0.6998694266396955,0.20886528442222163
total_token_throughput,tok/s,3,1005.2452161818925,1006.0464751861242,1002.8629603438577,1006.8262130156958,2.099608279919044,0.20886528442221738
mean_ttft_ms,ms,3,383.13395207126933,374.48870807886124,363.36525797843933,411.5478901565075,25.227895149376884,6.584614861980197
p50_ttft_ms,ms,3,429.6589468916257,424.5338439941406,400.45981481671333,463.9831818640232,32.07030636023253,7.464130932742273
p95_ttft_ms,ms,3,477.2776746501525,456.0409177094698,454.5541029423475,521.2380032986403,38.07801893087692,7.978168884347743
p99_ttft_ms,ms,3,956.508005981645,1126.9744570553305,528.9516577124626,1213.5979031771421,372.7991799393655,38.97501930020639
mean_tpot_ms,ms,3,40.352363611847714,40.334102080797585,40.17424367954881,40.548745075196734,0.18791736607557588,0.46569110023682014
p50_tpot_ms,ms,3,39.87425251856563,39.88777098106587,39.71585954033484,40.0191270342962,0.15208502505071997,0.3814116013332375
p95_tpot_ms,ms,3,42.434118491575475,42.43840535325328,42.42280384041663,42.44114628105652,0.0098941482422925,0.023316492940125066
p99_tpot_ms,ms,3,42.57562223127665,42.50368426634571,42.477625140289625,42.7455572871946,0.14774373738023824,0.34701486352371763
mean_itl_ms,ms,3,40.35236579363584,40.33410522529459,40.174245531047426,40.5487466245655,0.18791714538239437,0.4656905281425449
p95_itl_ms,ms,3,40.86815727253755,40.801069140434265,40.77657125890255,41.02683141827583,0.13796068260274766,0.3375750016883047
mean_e2el_ms,ms,3,5507.8841307759285,5513.055882528424,5496.919672340155,5513.676837459207,9.500574079963535,0.17249044922492102
p50_e2el_ms,ms,3,5500.109573205312,5494.280520826578,5490.214247256517,5515.833951532841,13.768649190355704,0.2503340889321904
p95_e2el_ms,ms,3,5531.287496785323,5527.425189688802,5523.875831067562,5542.561469599605,9.923524269049558,0.1794071321517263
p99_e2el_ms,ms,3,6191.75225481391,6493.854248896241,5554.620439931755,6526.782075613737,552.0179096681167,8.915374629838242
